,precision,recall,f1-score,support
Hello,0.9166666666666666,0.7333333333333333,0.8148148148148148,60.0
Help me,0.7352941176470589,0.8333333333333334,0.78125,60.0
Stop,0.7868852459016393,0.8,0.7933884297520661,60.0
Thank you,0.8793103448275862,0.85,0.864406779661017,60.0
Yes,0.7692307692307693,0.8333333333333334,0.8,60.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.8174774288547442,0.8099999999999999,0.8107720048455797,300.0
weighted avg,0.8174774288547441,0.81,0.8107720048455795,300.0
